_id,a_year,a_ref,v_id,c_id,c_class,c_sex,c_agegroup,c_sever,c_loc,c_move,c_school,c_pcv,c_pedinj,c_vtype
1,2024,1,1,1,6,1,3,3, , ,8, , ,4
2,2024,2,1,1,1,1,3,3,1,1,8,1,2,8
3,2024,2,1,2,4,1,3,2,1,1,8,1,2,8
4,2024,2,1,3,3,1,3,3,1,1,8,1,2,8
5,2024,3,1,1,1,2,4,3, , ,8, , ,8
6,2024,3,2,2,1,1,4,3, , ,8, , ,15
7,2024,3,2,3,3,2,4,3, , ,8, , ,15
8,2024,3,1,4,3,1,4,3, , ,8, , ,8
9,2024,4,0,1,5,2,7,2,2,2,8,1,2, 
10,2024,5,1,1,1,1,3,3, , ,8, , ,8
11,2024,6,2,1,1,1,7,3, , ,8, , ,8
12,2024,7,1,1,1,1,4,3, , ,8, , ,8
13,2024,8,1,1,1,2,6,3, , ,8, , ,8
14,2024,9,1,1,1,2,4,3, , ,8, , ,8
15,2024,9,2,2,1,2,6,3, , ,8, , ,8
16,2024,10,1,1,1,1,6,3, , ,8, , ,8
17,2024,11,0,1,5,1,4,3, , ,8, , , 
18,2024,12,1,1,1,2,4,2,1,1,8,1, ,8
19,2024,12,2,2,1,1,6,3,1,1,8,1, ,8
20,2024,13,2,1,1,2,6,3, , ,8, , ,8
21,2024,14,2,1,1,1,7,3, , ,8, , ,8
22,2024,14,2,2,3,2,7,3, , ,8, , ,8
23,2024,14,2,3,4,1,4,3, , ,8, , ,8
24,2024,15,1,1,1,1,4,3, , ,8, , ,8
25,2024,15,1,2,3,2,3,3, , ,8, , ,8
26,2024,15,2,3,1,2,5,3, , ,8, , ,8
27,2024,16,1,1,1,1,4,3, , ,8, , ,8
28,2024,17,1,1,1,2,4,3, , ,8, , ,15
29,2024,18,2,1,1,2,5,3, , ,8, , ,8
30,2024,18,2,2,3,2,5,3, , ,8, , ,8
31,2024,18,2,3,4,2,4,3, , ,8, , ,8
32,2024,19,2,1,1,2,7,3, , ,8, , ,8
33,2024,19,2,2,3,2,8,3, , ,8, , ,8
34,2024,19,2,3,4,2,6,3, , ,8, , ,8
35,2024,19,2,4,4,2,3,3, , ,8, , ,8
36,2024,20,2,1,1,2,3,2,1,1,8,1,2,8
37,2024,21,1,1,1,1,4,3, , ,8, , ,8
