a_year,a_ref,v_id,c_id,c_class,c_sex,c_agegroup,c_sever,c_loc,c_move,c_school,c_pcv,c_pedinj,c_vtype
2025,1,1,1,1,1,3,3, , ,8, , ,8
2025,2,1,1,1,2,3,3, , ,8, , ,8
2025,3,2,1,7,2,5,3, , ,8, , ,1
2025,4,1,1,1,2,4,3, , ,8, , ,8
2025,5,1,1,3,2,4,3,1,1,8,1, ,8
2025,5,2,2,1,1,4,2,1,1,8,1,2,8
2025,6,1,1,4,2,4,3, , ,8, , ,8
2025,7,1,1,1,2,3,3, , ,8, , ,14
2025,8,1,1,1,2,3,3, , ,8, , ,8
2025,9,0,1,5,1,8,3, , ,8, , , 
2025,10,2,1,1,1,3,2,1,1,8,1, ,8
2025,11,1,1,1,1,8,3,1,1,8,1,2,8
2025,11,1,2,3,2,8,2,1,1,8,1,2,8
2025,12,0,1,5,1,8,2,6,2,8,1,2, 
2025,13,1,1,1,1,4,3, , ,8, , ,8
2025,13,1,2,3,2,5,3, , ,8, , ,8
2025,13,1,3,4,1,1,3, , ,8, , ,8
2025,14,2,1,1,2,8,2,1,1,8,1,2,8
2025,15,1,1,3,2,5,3, , ,8, , ,8
2025,16,1,1,1,2,4,3, , ,8, , ,8
2025,16,2,2,1,2,5,3, , ,8, , ,8
2025,17,1,1,1,1,2,1,1,1,8,1,2,14
2025,18,2,1,3,1,4,3, , ,8, , ,8
2025,19,1,1,1,2,4,3, , ,8, , ,8
2025,19,1,2,3,1,1,3, , ,8, , ,8
2025,19,1,3,4,2,1,3, , ,8, , ,8
2025,19,1,4,4,1,1,3, , ,8, , ,8
2025,20,1,1,1,1,5,3, , ,8, , ,20
2025,20,2,2,1,1,7,3, , ,8, , ,8
2025,21,2,1,7,1,5,2,1,1,8,1,2,1
2025,22,2,1,6,1,7,2,1,1,8,1,2,5
2025,23,1,1,1,1,3,2,1,1,8,1,2,8
2025,23,2,2,1,1,5,3,1,1,8,1,2,8
2025,24,1,1,4,1,1,3, , ,8, , ,8
2025,24,2,2,3,2,2,3, , ,8, , ,8
2025,24,3,3,3,2,3,3, , ,8, , ,8
2025,25,1,1,1,2,4,3, , ,8, , ,8
2025,26,1,1,1,1,4,3, , ,8, , ,8
2025,27,2,1,1,1,4,3, , ,8, , ,8
2025,28,2,1,1,2,3,2,1,1,8,1,2,8
2025,29,1,1,1,1,8,2,1,1,8,1,2,25
2025,30,1,1,1,2,6,3, , ,8, , ,8
2025,31,1,1,1,1,3,3, , ,8, , ,8
2025,32,0,1,5,2,4,3, , ,8, , , 
2025,33,2,1,1,2,6,3, , ,8, , ,8
2025,34,1,1,1,1,7,3, , ,8, , ,8
2025,34,1,2,3,2,7,3, , ,8, , ,8
2025,34,1,3,4,2,4,3, , ,8, , ,8
2025,34,2,4,1,1,5,3, , ,8, , ,15
2025,35,1,1,1,1,4,3, , ,8, , ,8
2025,35,1,2,3,1,4,3, , ,8, , ,8
2025,36,0,1,5,1,2,2,2,4,8,1,2, 
2025,37,1,1,1,2,3,3, , ,8, , ,8
2025,38,1,1,1,2,6,3, , ,8, , ,8
2025,38,1,2,3,2,3,3, , ,8, , ,8
2025,38,2,3,1,1,8,3, , ,8, , ,8
2025,39,1,1,1,1,3,3, , ,8, , ,8
2025,39,1,2,3,2,2,3, , ,8, , ,8
2025,39,1,3,4,1,3,3, , ,8, , ,8
2025,39,1,4,4,2,3,3, , ,8, , ,8
2025,40,1,1,1,2,3,3, , ,8, , ,8
2025,41,2,1,1,1,6,3, , ,8, , ,8
2025,42,1,1,1,2,5,3, , ,8, , ,8
2025,42,1,2,3,2,7,3, , ,8, , ,8
2025,42,2,3,3,2,4,3, , ,8, , ,8
2025,42,2,4,4,1,1,3, , ,8, , ,8
2025,42,2,5,4,1,2,3, , ,8, , ,8
2025,42,2,6,4,1,1,3, , ,8, , ,8
2025,43,1,1,4,2,1,3, , ,8, , ,20
2025,44,0,1,5,1,6,3, , ,8, , , 
2025,45,0,1,5,2,2,3, , ,8, , , 
2025,46,1,1,1,1,4,3, , ,8, , ,8
2025,47,2,1,1,1,5,3, , ,8, , ,8
2025,48,1,1,1,1,4,3, , ,8, , ,8
2025,48,2,2,1,1,5,3, , ,8, , ,8
2025,49,1,1,3,1,4,3, , ,8, , ,15
2025,50,1,1,3,1,4,3, , ,8, , ,8
2025,51,1,1,1,1,6,3, , ,8, , ,8
2025,51,1,2,3,2,6,3, , ,8, , ,8
2025,51,2,3,1,1,6,3, , ,8, , ,8
2025,52,1,1,1,2,3,3, , ,8, , ,8
2025,53,2,1,3,1,4,2,1,1,8,1,2,8
2025,54,1,1,4,2,4,3, , ,8, , ,8
2025,55,1,1,1,1,4,3, , ,8, , ,8
2025,55,2,2,4,1,1,3, , ,8, , ,8
2025,55,2,3,4,2,1,3, , ,8, , ,8
2025,56,1,1,1,1,3,3, , ,8, , ,8
2025,57,1,1,1,1,4,3, , ,8, , ,8
2025,57,1,2,3,1,4,3, , ,8, , ,8
2025,58,1,1,1,2,5,3, , ,8, , ,8
2025,59,1,1,1,2,4,3, , ,8, , ,8
2025,60,1,1,1,2,5,2,1,1,8,1,2,8
2025,61,0,1,5,2,7,2,6,2,8,1,2, 
2025,62,1,1,1,2,4,3, , ,8, , ,8
2025,62,2,2,1,1,6,3, , ,8, , ,8
2025,63,1,1,1,2,4,3, , ,8, , ,8
2025,63,2,2,1,1,7,3, , ,8, , ,8
2025,63,2,3,3,1,8,3, , ,8, , ,8
2025,64,1,1,4,2,6,3, , ,8, , ,20
2025,65,2,1,7,1,4,3, , ,8, , ,1
2025,66,1,1,1,1,4,3, , ,8, , ,8
2025,67,1,1,1,1,4,3, , ,8, , ,8
2025,68,2,1,1,2,4,3, , ,8, , ,8
2025,68,3,2,3,2,1,3, , ,8, , ,8
2025,69,1,1,1,2,3,3, , ,8, , ,8
2025,69,1,2,3,2,3,3, , ,8, , ,8
2025,70,1,1,1,1,7,3, , ,8, , ,8
2025,71,1,1,1,2,7,3, , ,8, , ,8
2025,72,0,1,5,1,6,3, , ,8, , , 
2025,73,1,1,1,1,3,3, , ,8, , ,8
2025,73,2,2,1,2,5,3, , ,8, , ,8
2025,73,2,3,3,2,2,3, , ,8, , ,8
2025,73,2,4,4,2,1,3, , ,8, , ,8
2025,74,0,1,5,2,2,3, , ,8, , , 
2025,75,1,1,1,1,4,3, , ,8, , ,8
2025,76,2,1,1,1,5,3, , ,8, , ,8
2025,77,1,1,1,2,3,3, , ,8, , ,8
2025,78,1,1,1,1,7,3, , ,8, , ,15
2025,79,1,1,1,2,6,3, , ,8, , ,8
2025,80,2,1,1,1,4,3, , ,8, , ,15
2025,81,1,1,4,2,2,3, , ,7, , ,8
2025,82,1,1,1,2,4,3, , ,8, , ,8
2025,82,1,2,4,2,2,3, , ,8, , ,8
2025,82,1,3,4,2,2,3, , ,8, , ,8
2025,83,1,1,1,1,3,3, , ,8, , ,15
2025,83,1,2,3,2,4,3, , ,8, , ,15
2025,84,0,1,5,2,6,3, , ,8, , , 
2025,85,1,1,1,1,8,3, , ,8, , ,8
2025,85,2,2,1,1,8,3, , ,8, , ,15
2025,86,2,1,1,1,4,3, , ,8, , ,8
2025,86,1,2,3,2,7,3, , ,8, , ,8
2025,87,0,1,5,1,2,3, , ,8, , , 
2025,88,2,1,1,2,7,3, , ,8, , ,8
2025,89,1,1,1,2,6,3, , ,8, , ,8
2025,90,1,1,1,1,3,3, , ,8, , ,15
2025,90,1,2,3,1,3,3, , ,8, , ,15
2025,91,0,1,5,2,3,3, , ,8, , , 
2025,92,2,1,3,2,5,3, , ,8, , ,8
2025,93,1,1,1,2,8,3, , ,8, , ,8
2025,94,2,1,3,1,7,3, , ,8, , ,15
2025,94,2,2,1,1,6,3, , ,8, , ,15
2025,95,1,1,1,1,3,3, , ,8, , ,15
2025,96,1,1,4,1,2,3, , ,7, , ,20
2025,97,1,1,1,1,4,3, , ,8, , ,15
2025,98,1,1,1,1,8,3, , ,8, , ,15
2025,99,0,1,5,1,6,2,11,2,8,1,2, 
2025,100,1,1,1,1,4,3, , ,8, , ,8
2025,100,2,2,1,1,4,3, , ,8, , ,8
2025,101,1,1,1,2,7,3, , ,8, , ,8
2025,101,2,2,1,2,5,3, , ,8, , ,8
2025,101,2,3,3,2,1,3, , ,8, , ,8
2025,102,1,1,1,1,6,3, , ,8, , ,8
2025,103,1,1,1,2,7,3, , ,8, , ,8
2025,104,1,1,1,2,3,3, , ,8, , ,8
2025,104,2,2,1,1,4,3, , ,8, , ,8
2025,105,1,1,1,2,4,3, , ,8, , ,8
2025,106,6,1,1,1,8,3, , ,8, , ,8
2025,106,6,2,4,2,8,3, , ,8, , ,8
2025,107,1,1,1,1,5,3, , ,8, , ,8
2025,107,1,2,3,1,1,3, , ,8, , ,8
2025,107,2,3,1,2,5,3, , ,8, , ,8
2025,108,0,1,5,1,6,3, , ,8, , , 
2025,109,2,1,1,1,4,2,1,1,8,1,2,8
2025,110,1,1,1,2,6,3, , ,8, , ,8
2025,111,1,1,1,2,5,3, , ,8, , ,8
2025,111,2,2,1,1,4,3, , ,8, , ,8
2025,112,1,1,1,1,7,3, , ,8, , ,17
2025,112,2,2,1,1,5,3, , ,8, , ,17
2025,113,0,1,5,1,8,2,6,2,8,1,2, 
2025,114,1,1,1,2,3,3, , ,8, , ,8
2025,115,1,1,1,2,7,3, , ,8, , ,8
2025,115,2,2,1,1,5,3, , ,8, , ,8
2025,115,2,3,3,1,2,3, , ,8, , ,8
2025,115,2,4,4,1,1,3, , ,8, , ,8
2025,116,1,1,1,2,7,3, , ,8, , ,8
2025,117,1,1,1,2,4,3, , ,8, , ,8
2025,117,2,2,1,1,5,3, , ,8, , ,8
2025,117,2,3,3,2,5,3, , ,8, , ,8
2025,117,2,4,4,1,1,3, , ,8, , ,8
2025,117,2,5,4,1,1,3, , ,8, , ,8
2025,117,2,6,4,2,1,3, , ,8, , ,8
2025,118,2,1,1,2,7,2,1,1,8,1,2,8
2025,118,2,2,3,2,4,3,1,1,8,1,2,8
2025,119,3,1,1,1,3,3, , ,8, , ,8
2025,119,2,2,3,2,6,3, , ,8, , ,8
2025,120,0,1,5,1,5,1,10,8,8,1,2, 
2025,120,3,2,1,1,3,3,1,1,8,1,2,8
2025,121,1,1,4,2,3,3, , ,8, , ,8
2025,122,1,1,1,1,7,2,1,1,8,1,2,8
2025,122,1,2,3,1,3,2,1,1,8,1,2,8
2025,122,2,3,1,1,7,2,1,1,8,1,2,8
2025,122,3,4,1,2,6,3,1,1,8,1,2,8
2025,122,3,5,3,2,3,3,1,1,8,1,2,8
2025,123,1,1,1,2,7,3, , ,8, , ,8
2025,123,1,2,3,1,2,3, , ,8, , ,8
2025,123,2,3,1,2,5,3, , ,8, , ,8
2025,123,2,4,4,2,1,3, , ,8, , ,8
2025,124,1,1,1,1,4,3, , ,8, , ,8
2025,125,1,1,1,1,6,3, , ,8, , ,8
2025,126,2,1,7,1,2,2,1,1,8,1,2,1
2025,127,0,1,5,2,3,2,6,4,8,1,2, 
2025,128,0,1,5,1,4,3, , ,8, , , 
2025,129,1,1,1,1,8,3, , ,8, , ,25
2025,129,2,2,1,1,6,3, , ,8, , ,8
2025,130,1,1,1,1,4,2,1,1,8,1,2,8
2025,131,1,1,1,1,3,3, , ,8, , ,8
2025,132,2,1,1,2,5,3, , ,8, , ,8
2025,133,1,1,1,1,8,3, , ,8, , ,8
2025,133,2,2,1,1,6,3, , ,8, , ,8
2025,134,1,1,1,2,3,3, , ,8, , ,8
2025,134,1,2,3,2,6,3, , ,8, , ,8
2025,134,1,3,4,1,3,3, , ,8, , ,8
2025,135,1,1,1,2,7,3, , ,8, , ,8
2025,136,1,1,6,1,3,2,1,1,8,1,2,5
2025,137,1,1,1,1,4,2,1,1,8,1,2,8
2025,138,1,1,7,1,2,3, , ,7, , ,1
2025,139,2,1,1,1,4,3, , ,8, , ,14
2025,140,2,1,1,2,6,3, , ,8, , ,8
2025,141,0,1,5,2,8,1,7,4,8,1,2, 
2025,142,1,1,1,2,5,3, , ,8, , ,8
2025,143,0,1,5,2,8,1,6,4,8,1,2, 
2025,144,1,1,3,1,1,3, , ,8, , ,20
2025,145,1,1,1,1,7,3, , ,8, , ,8
2025,146,1,1,1,1,5,3, , ,8, , ,8
2025,147,1,1,1,1,5,3, , ,8, , ,8
2025,148,1,1,1,1,6,3, , ,8, , ,8
2025,149,2,1,1,2,5,3, , ,8, , ,8
2025,150,2,1,1,1,4,3, , ,8, , ,24
2025,151,1,1,1,2,5,3, , ,8, , ,8
2025,151,2,2,1,1,5,3, , ,8, , ,8
2025,152,1,1,1,1,4,3, , ,8, , ,8
2025,152,2,2,6,1,3,3, , ,8, , ,5
2025,153,0,1,5,2,5,2,10,6,8,1,2, 
2025,153,2,2,1,1,5,3,1,1,8,1,2,8
2025,154,1,1,1,2,7,3, , ,8, , ,8
2025,154,2,2,1,2,3,3, , ,8, , ,8
2025,155,1,1,1,2,4,3, , ,8, , ,8
2025,156,1,1,1,1,6,3, , ,8, , ,8
2025,156,2,2,1,1,7,3, , ,8, , ,8
2025,157,2,1,1,2,4,3, , ,8, , ,8
2025,157,1,2,3,1,4,3, , ,8, , ,8
2025,158,1,1,1,2,8,3, , ,8, , ,8
2025,158,1,2,3,2,8,3, , ,8, , ,8
2025,159,1,1,1,1,4,3, , ,8, , ,8
2025,159,1,2,3,2,4,3, , ,8, , ,8
2025,160,1,1,1,1,6,3, , ,8, , ,8
2025,160,2,2,1,2,5,3, , ,8, , ,8
2025,161,1,1,1,1,7,3, , ,8, , ,8
2025,162,1,1,1,1,5,2,1,1,8,1,2,8
2025,162,2,2,1,2,3,2,1,1,8,1,2,8
2025,163,1,1,1,1,3,3, , ,8, , ,8
2025,164,1,1,1,2,7,3, , ,8, , ,8
