a_year,a_ref,v_id,c_id,c_class,c_sex,c_agegroup,c_sever,c_loc,c_move,c_school,c_pcv,c_pedinj,c_vtype
2023,1,1,1,7,1,3,3, , ,8, , ,1
2023,2,1,1,1,1,8,1,1,1,8,1, ,8
2023,3,1,1,3,1,6,2,1,1,8,1,2,14
2023,3,1,2,1,1,7,2,1,1,8,1,2,14
2023,4,2,1,1,1,4,3, , ,8, , ,8
2023,4,2,2,3,2,4,3, , ,8, , ,8
2023,4,2,3,4,1,1,3, , ,8, , ,8
2023,4,2,4,4,2,1,3, , ,8, , ,8
2023,4,2,5,4,2,1,3, , ,8, , ,8
2023,4,1,6,1,1,8,3, , ,8, , ,16
2023,5,1,1,1,1,4,3, , ,8, , ,8
2023,5,1,2,3,2,4,3, , ,8, , ,8
2023,5,2,3,4,1,1,3, , ,8, , ,8
2023,6,1,1,1,1,4,3, , ,8, , ,8
2023,6,1,2,3,2,4,3, , ,8, , ,8
2023,7,1,1,1,1,4,3, , ,8, , ,8
2023,8,1,1,1,1,4,3, , ,8, , ,8
2023,9,1,1,1,2,5,3, , ,8, , ,8
2023,10,1,1,1,1,7,3, , ,8, , ,8
2023,10,2,2,1,1,5,3, , ,8, , ,8
2023,10,0,3,5,1,8,3, , ,8, , , 
2023,11,1,1,1,2,5,3, , ,8, , ,8
2023,12,2,1,1,2,7,3, , ,8, , ,8
2023,13,1,1,3,1,3,3, , ,8, , ,8
2023,14,1,1,1,1,8,3, , ,8, , ,8
2023,15,2,1,1,1,5,3, , ,8, , ,8
2023,15,2,2,3,2,5,3, , ,8, , ,8
2023,15,2,3,4,2,1,3, , ,8, , ,8
2023,16,1,1,1,1,4,3, , ,8, , ,15
2023,17,1,1,1,2,7,3, , ,8, , ,8
2023,18,1,1,1,2,4,3, , ,8, , ,8
2023,19,2,1,3,1,6,3, , ,8, , ,8
2023,20,0,1,5,2,2,2,2,4,8,1,2, 
2023,21,2,1,1,2,4,3, , ,8, , ,8
2023,21,2,2,3,1,1,3, , ,8, , ,8
2023,22,1,1,1,2,5,3, , ,8, , ,8
2023,23,2,1,6,1,5,3, , ,8, , ,23
2023,24,1,1,1,2,5,3, , ,8, , ,8
2023,25,1,1,3,2,7,3, , ,8, , ,8
2023,25,1,2,4,1,2,3, , ,8, , ,8
2023,26,0,1,5,1,2,3, , ,7, , , 
2023,27,1,1,1,1,8,3, , ,8, , ,8
2023,28,1,1,3,2,3,3, , ,8, , ,8
2023,29,1,1,1,1,4,3, , ,8, , ,8
2023,29,2,2,1,1,6,3, , ,8, , ,8
2023,30,1,1,1,1,5,3, , ,8, , ,8
2023,31,1,1,1,2,7,3, , ,8, , ,8
2023,32,1,1,3,2,4,3, , ,8, , ,8
2023,32,1,2,1,1,5,3, , ,8, , ,8
2023,32,3,3,1,2,5,3, , ,8, , ,8
2023,33,2,1,1,2,3,3, , ,8, , ,8
2023,34,1,1,1,1,5,3, , ,8, , ,8
2023,35,1,1,1,1,4,3, , ,8, , ,8
2023,35,2,2,1,1,8,3, , ,8, , ,8
2023,36,1,1,1,1,4,2,1,1,8,1,2,15
2023,37,2,1,1,1,5,3, , ,8, , ,8
2023,37,2,2,3,1,6,3, , ,8, , ,8
2023,37,3,3,1,1,6,3, , ,8, , ,8
2023,37,3,4,3,1,4,3, , ,8, , ,8
2023,38,1,1,1,1,8,3, , ,8, , ,8
2023,38,1,2,3,1,5,3, , ,8, , ,8
2023,39,1,1,1,1,3,3, , ,8, , ,8
2023,39,1,2,3,1,2,3, , ,8, , ,8
2023,40,1,1,1,1,3,3, , ,8, , ,8
2023,41,1,1,1,1,5,3, , ,8, , ,8
2023,42,1,1,1,1,4,3, , ,8, , ,8
2023,43,0,1,5,1,4,3, , ,8, , , 
2023,44,1,1,1,1,8,3, , ,8, , ,8
2023,45,1,1,1,1,7,3, , ,8, , ,8
2023,46,2,1,3,2,8,3, , ,8, , ,8
2023,47,1,1,1,1,5,2,1,1,8,1, ,8
2023,47,1,2,3,1,8,3,1,1,8,1, ,8
2023,47,1,3,4,2,8,2,1,1,8,1, ,8
2023,48,2,1,1,2,4,3, , ,8, , ,8
2023,48,1,2,1,1,8,3, , ,8, , ,8
2023,48,1,3,3,2,7,3, , ,8, , ,8
2023,49,2,1,3,2,5,3, , ,8, , ,8
2023,50,1,1,1,1,3,3, , ,8, , ,8
2023,51,1,1,1,2,6,3, , ,8, , ,8
2023,51,1,2,3,2,3,3, , ,8, , ,8
2023,51,2,3,1,2,3,3, , ,8, , ,8
2023,51,2,4,3,1,3,3, , ,8, , ,8
2023,52,1,1,3,2,3,3, , ,8, , ,8
2023,52,1,2,4,2,4,3, , ,8, , ,8
2023,53,1,1,1,1,5,3, , ,8, , ,8
2023,54,1,1,1,2,8,3, , ,8, , ,8
2023,54,2,2,1,2,6,3, , ,8, , ,8
2023,54,2,3,3,2,3,3, , ,8, , ,8
2023,55,1,1,1,1,5,3, , ,8, , ,8
2023,55,1,2,4,1,1,3, , ,8, , ,8
2023,55,1,3,4,1,2,3, , ,8, , ,8
2023,55,1,4,3,1,2,3, , ,8, , ,8
2023,56,1,1,1,2,5,3, , ,8, , ,8
2023,56,1,2,3,2,4,3, , ,8, , ,8
2023,56,2,3,1,2,4,3, , ,8, , ,8
2023,56,2,4,3,2,7,3, , ,8, , ,8
2023,56,2,5,4,2,1,3, , ,8, , ,8
2023,57,2,1,1,1,5,3, , ,8, , ,8
2023,57,1,2,3,2,2,3, , ,8, , ,8
2023,58,1,1,1,1,4,3, , ,8, , ,8
2023,58,2,2,1,2,6,3, , ,8, , ,8
2023,58,2,3,3,2,2,3, , ,8, , ,8
2023,59,2,1,1,2,5,3, , ,8, , ,8
2023,60,1,1,6,1,3,3, , ,8, , ,23
2023,61,1,1,1,1,5,3, , ,8, , ,8
2023,61,1,2,4,2,5,3, , ,8, , ,8
2023,61,1,3,3,2,2,3, , ,8, , ,8
2023,62,1,1,1,1,7,3, , ,8, , ,8
2023,63,1,1,7,1,5,2,1,1,8,1,2,1
2023,64,1,1,1,2,5,3, , ,8, , ,8
2023,64,1,2,4,2,2,3, , ,8, , ,8
2023,65,1,1,1,2,6,3, , ,8, , ,8
2023,66,2,1,6,1,7,2,1,1,8,1,2,23
2023,67,0,1,5,2,2,3, , ,7, , , 
2023,68,1,1,1,2,4,3, , ,8, , ,8
2023,68,1,2,3,2,3,3, , ,8, , ,8
2023,69,0,1,5,2,5,3, , ,8, , , 
2023,70,1,1,1,2,6,3, , ,8, , ,8
2023,71,1,1,1,2,3,3, , ,8, , ,8
2023,72,2,1,1,1,8,3, , ,8, , ,8
2023,72,2,2,3,2,8,3, , ,8, , ,8
2023,73,1,1,1,1,5,3, , ,8, , ,8
2023,73,2,2,1,1,5,3, , ,8, , ,8
2023,74,2,1,1,2,6,3, , ,8, , ,8
2023,75,1,1,3,1,4,3, , ,8, , ,8
2023,76,1,1,1,1,5,3, , ,8, , ,8
2023,76,1,2,3,2,4,3, , ,8, , ,8
2023,76,1,3,4,1,1,3, , ,8, , ,8
2023,77,2,1,1,2,3,2,1,1,8,1, ,14
2023,78,0,1,5,1,3,2,9,2,8,1,2, 
2023,79,1,1,1,2,6,3, , ,8, , ,8
2023,80,2,1,1,2,4,3, , ,8, , ,8
2023,81,2,1,1,2,3,3, , ,8, , ,8
2023,81,2,2,3,2,8,3, , ,8, , ,8
2023,81,1,3,1,1,3,3, , ,8, , ,8
2023,82,1,1,3,2,3,3, , ,8, , ,8
2023,83,1,1,1,2,3,3, , ,8, , ,8
2023,84,1,1,3,1,2,3, , ,8, , ,25
2023,85,1,1,1,1,5,3, , ,8, , ,15
2023,86,0,1,5,1,2,3, , ,7, , , 
2023,87,1,1,1,1,5,3, , ,8, , ,8
2023,87,1,2,3,2,4,3, , ,8, , ,8
2023,88,1,1,1,1,4,3, , ,8, , ,8
2023,89,2,1,1,2,7,3, , ,8, , ,8
2023,90,0,1,5,2,6,3, , ,8, , , 
2023,91,1,1,1,2,3,2,1,1,8,1,2,8
