_id,a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
1,2024,1,CCGL,3,2,1,MON,1,1,2,13,295642,425391,13,30, , , , , , , , , , 
2,2024,2,DCST,2,1,3,MON,1,1,3,0,243171,415938,13,30,12,7,1,9,4,1,2,1,1,1
3,2024,3,FERO,3,2,4,MON,1,1,7,44,251406,364572,13,60, , , , , , , , , , 
4,2024,4,ANTN,2,1,1,MON,1,1,9,52,331845,382140,13,30,1,1,1,12,1,8,1,1,1,2
5,2024,5,LISC,3,3,1,MON,1,1,18,22,324633,359965,11,30, , , , , , , , , , 
6,2024,6,BELC,3,2,1,TUE,2,1,13,40,334070,368965,13,30, , , , , , , , , , 
7,2024,7,LISC,3,2,1,TUE,2,1,16,52,326520,363886,13,30, , , , , , , , , , 
8,2024,8,BELC,3,2,1,TUE,2,1,17,40,329947,370604,12,70, , , , , , , , , , 
9,2024,9,NEMD,3,2,2,TUE,2,1,19,44,308923,327354,13,30, , , , , , , , , , 
10,2024,10,LISC,3,1,1,TUE,2,1,20,0,331929,359588,13,60, , , , , , , , , , 
11,2024,11,BELC,3,2,1,TUE,2,1,21,0,331096,376312,13,30, , , , , , , , , , 
12,2024,12,BELC,2,2,2,TUE,2,1,22,0,332455,373110,13,30,6,7,1,1,7,10,10,1,1,2
13,2024,13,CCGL,3,2,1,WED,3,1,11,45,283544,429967,13,60, , , , , , , , , , 
14,2024,14,BELC,3,2,3,WED,3,1,12,15,339266,373927,13,30, , , , , , , , , , 
15,2024,15,BELC,3,3,3,WED,3,1,13,5,336931,374069,13,30, , , , , , , , , , 
16,2024,16,BELC,3,2,1,WED,3,1,13,25,331129,376275,13,30, , , , , , , , , , 
17,2024,17,LISC,3,2,1,WED,3,1,14,8,337813,364291,13,60, , , , , , , , , , 
18,2024,18,BELC,3,2,3,WED,3,1,15,47,330664,371763,13,30, , , , , , , , , , 
19,2024,19,MEAN,3,2,4,WED,3,1,16,5,312133,398549,13,60, , , , , , , , , , 
20,2024,20,MIDU,2,2,1,WED,3,1,16,55,270203,360656,13,60,10,7,1,1,6,7,2,1,1,1
21,2024,21,NEMD,3,2,2,WED,3,1,17,6,313354,326582,13,60, , , , , , , , , , 
22,2024,22,ARND,3,2,1,WED,3,1,17,8,352105,381649,13,30, , , , , , , , , , 
23,2024,23,NEMD,3,2,2,WED,3,1,18,0,342690,349094,13,60, , , , , , , , , , 
24,2024,24,BELC,2,3,2,WED,3,1,18,9,333022,376074,13,30,12,7,1,1,4,1,2,1,1,1
25,2024,25,BELC,3,2,2,WED,3,1,18,24,332195,375585,13,30, , , , , , , , , , 
26,2024,26,NEMD,2,2,1,WED,3,1,18,49,307122,326415,11,70,1,1,1,1,6,1,2,1,1,1
27,2024,27,ARBC,3,1,1,WED,3,1,18,45,300920,353533,13,30, , , , , , , , , , 
28,2024,28,NEMD,3,1,1,THU,4,1,0,54,303928,328645,13,60, , , , , , , , , , 
29,2024,29,BELC,3,2,1,THU,4,1,6,20,332021,372762,1,30, , , , , , , , , , 
30,2024,30,LISC,3,2,1,THU,4,1,7,50,325458,361788,11,50, , , , , , , , , , 
31,2024,31,MEAN,3,2,1,THU,4,1,8,40,339956,389462,13,50, , , , , , , , , , 
32,2024,32,FERO,3,2,1,THU,4,1,10,0,223668,345079,13,30, , , , , , , , , , 
33,2024,33,NEMD,3,2,1,THU,4,1,10,16,308039,321244,13,60, , , , , , , , , , 
34,2024,34,ARBC,3,2,2,THU,4,1,10,35,285694,334000,13,40, , , , , , , , , , 
35,2024,35,NEMD,2,2,4,THU,4,1,12,55,306554,321699,13,60,10,7,1,1,2,8,1,1,1,1
36,2024,36,BELC,3,2,1,THU,4,1,13,30,332726,374397,13,30, , , , , , , , , , 
37,2024,37,ARND,3,2,3,THU,4,1,14,0,343631,377068,13,30, , , , , , , , , , 
38,2024,38,ANTN,3,2,1,WED,3,1,20,0,334153,382379,13,40, , , , , , , , , , 
39,2024,39,BELC,3,2,1,THU,4,1,16,29,329660,369687,13,30, , , , , , , , , , 
40,2024,40,BELC,2,7,4,THU,4,1,16,46,339938,373989,13,30,12,7,1,12,1,1,1,1,1,1
