a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2025,1,MIDU,3,1,1,WED,1,1,1,4,283263,396951,13,60, , , , , , , , , , 
2025,2,ARBC,3,1,1,WED,1,1,3,0,315533,342455,13,60, , , , , , , , , , 
2025,3,BELC,3,2,1,WED,1,1,12,30,337892,373968,13,30, , , , , , , , , , 
2025,4,CCGL,3,1,1,WED,1,1,15,22,269559,410954,13,60, , , , , , , , , , 
2025,5,ARBC,2,2,2,WED,1,1,15,47,315495,342492,13,60,1,1,1,1,2,1,1,1,3,1
2025,6,DCST,3,2,1,WED,1,1,16,30,243275,419911,1,40, , , , , , , , , , 
2025,7,CCGL,3,2,1,WED,1,1,19,50,285681,431640,11,50, , , , , , , , , , 
2025,8,MIDU,3,1,1,THU,2,1,0,2,277362,395360,13,60, , , , , , , , , , 
2025,9,LISC,3,1,1,THU,2,1,7,40,326267,362960,13,40, , , , , , , , , , 
2025,10,NEMD,2,2,1,THU,2,1,7,49,307409,328577,13,40,12,7,1,1,3,1,4,1,1,1
2025,11,BELC,2,2,2,THU,2,1,9,0,333072,371807,13,30,12,7,1,1,1,1,4,1,1,1
2025,12,BELC,2,1,1,THU,2,1,10,31,337383,374892,13,30,12,7,1,1,1,1,1,1,1,1
2025,13,DCST,3,2,3,THU,2,1,11,0,247332,414466,13,30, , , , , , , , , , 
2025,14,BELC,2,2,1,THU,2,1,12,11,332553,369025,13,50,12,7,1,1,1,1,1,1,1,1
2025,15,CCGL,3,2,1,THU,2,1,12,50,285851,431565,11,50, , , , , , , , , , 
2025,16,MIDU,3,2,2,THU,2,1,13,24,281257,360708,13,30, , , , , , , , , , 
2025,17,NEMD,1,1,1,THU,2,1,13,50,306346,320476,13,60,12,7,1,1,2,9,4,1,1,1
2025,18,LISC,3,2,1,THU,2,1,15,25,342876,372376,13,40, , , , , , , , , , 
2025,19,ANTN,3,2,4,THU,2,1,13,40,330460,382410,13,30, , , , , , , , , , 
2025,20,ANTN,3,2,2,THU,2,1,14,35,331790,382202,13,30, , , , , , , , , , 
2025,21,MIDU,2,2,1,THU,2,1,17,3,279773,371474,13,60,1,1,1,1,6,1,2,1,1,1
2025,22,ARND,2,2,1,THU,2,1,17,30,347965,374086,13,30,10,7,1,1,4,2,2,1,1,1
2025,23,MEAN,2,2,2,THU,2,1,18,17,311786,398269,11,70,12,7,1,1,6,9,2,1,1,1
2025,24,ANTN,3,3,3,THU,2,1,18,31,311146,388929,13,60, , , , , , , , , , 
2025,25,LISC,3,2,1,THU,2,1,18,55,319061,372807,13,60, , , , , , , , , , 
2025,26,ARBC,3,2,1,THU,2,1,20,6,305942,358939,13,50, , , , , , , , , , 
2025,27,DCST,3,2,1,THU,2,1,18,20,244537,419790,1,30, , , , , , , , , , 
2025,28,NEMD,2,2,1,FRI,3,1,12,13,301675,330686,13,60,10,7,1,1,2,9,4,1,1,1
2025,29,FERO,2,3,1,FRI,3,1,13,27,253350,367802,13,60,1,1,1,1,2,1,2,1,1,1
2025,30,DCST,3,2,1,FRI,3,1,14,22,251902,420975,13,30, , , , , , , , , , 
2025,31,NEMD,3,1,1,FRI,3,1,14,44,349448,341999,13,60, , , , , , , , , , 
2025,32,NEMD,3,1,1,FRI,3,1,16,29,340439,336385,13,30, , , , , , , , , , 
2025,33,MEAN,3,2,1,FRI,3,1,15,47,335080,395843,13,60, , , , , , , , , , 
2025,34,MEAN,3,2,4,FRI,3,1,17,19,302852,406091,13,60, , , , , , , , , , 
2025,35,BELC,3,2,2,FRI,3,1,17,55,333927,371868,13,30, , , , , , , , , , 
2025,36,BELC,2,1,1,FRI,3,1,18,50,334839,373943,13,30,12,3,1,11,4,1,2,1,1,2
2025,37,ARND,3,2,1,FRI,3,1,17,52,351659,381775,13,30, , , , , , , , , , 
2025,38,FERO,3,2,3,FRI,3,1,19,14,246246,379835,13,60, , , , , , , , , , 
2025,39,NEMD,3,1,4,FRI,3,1,23,30,348801,346396,13,60, , , , , , , , , , 
2025,40,BELC,3,2,1,SAT,4,1,9,30,335020,372163,13,30, , , , , , , , , , 
2025,41,NEMD,3,2,1,SAT,4,1,10,36,310687,327452,13,60, , , , , , , , , , 
2025,42,MEAN,3,2,6,SAT,4,1,10,59,310951,400749,11,70, , , , , , , , , , 
2025,43,ANTN,3,1,1,SAT,4,1,15,30,331225,384197,13,30, , , , , , , , , , 
2025,44,BELC,3,2,1,SAT,4,1,16,39,334117,372377,13,30, , , , , , , , , , 
2025,45,BELC,3,1,1,SAT,4,1,19,30,334165,377368,13,30, , , , , , , , , , 
2025,46,ARBC,3,2,1,SAT,4,1,21,40,301112,343040,13,60, , , , , , , , , , 
2025,47,ARND,3,2,1,SAT,4,1,21,45,347690,380462,13,30, , , , , , , , , , 
2025,48,BELC,3,2,2,SAT,4,1,23,52,332027,373124,1,30, , , , , , , , , , 
2025,49,CCGL,3,1,1,SUN,5,1,1,14,316236,427541,13,60, , , , , , , , , , 
2025,50,FERO,3,1,1,SUN,5,1,2,16,225198,360627,13,60, , , , , , , , , , 
2025,51,ANTN,3,2,3,SUN,5,1,10,37,319400,377330,13,60, , , , , , , , , , 
2025,52,ANTN,3,2,1,SUN,5,1,12,23,299317,391012,13,60, , , , , , , , , , 
2025,53,NEMD,2,2,1,SUN,5,1,12,40,351983,355106,13,60,1,1,1,1,2,4,2,1,1,1
2025,54,ARBC,3,1,1,SUN,5,1,15,35,311645,346159,13,30, , , , , , , , , , 
2025,55,DCST,3,2,3,SUN,5,1,18,18,237253,407648,13,60, , , , , , , , , , 
2025,56,MEAN,3,1,1,SUN,5,1,21,16,311793,398223,11,70, , , , , , , , , , 
2025,57,DCST,3,2,2,MON,6,1,5,50,243887,418658,1,30, , , , , , , , , , 
2025,58,DCST,3,1,1,MON,6,1,7,50,242652,420891,13,30, , , , , , , , , , 
