a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2023,1,ARND,3,2,1,SUN,1,1,6,55,351791,379493,13,30, , , , , , , , , , 
2023,2,NEMD,1,1,1,MON,2,1,6,30,308235,321670,13,60,10,7,1,1,6,9,4,1,1,1
2023,3,LISC,2,1,2,MON,2,1,10,0,325042,373199,13,60,6,7,1,1,2,1,4,1,1,1
2023,4,MEAN,3,2,6,MON,2,1,10,54,303512,404412,13,60, , , , , , , , , , 
2023,5,ARBC,3,2,3,MON,2,1,12,10,300538,354707,13,30, , , , , , , , , , 
2023,6,NEMD,3,1,2,MON,2,1,13,3,345693,340033,13,60, , , , , , , , , , 
2023,7,MEAN,3,1,1,MON,2,1,14,39,299801,403649,13,60, , , , , , , , , , 
2023,8,MIDU,3,2,1,MON,2,1,14,30,292784,392393,13,30, , , , , , , , , , 
2023,9,ARBC,3,2,1,MON,2,1,16,20,315428,345291,13,60, , , , , , , , , , 
2023,10,ARND,3,3,3,MON,2,1,17,31,349656,380020,11,40, , , , , , , , , , 
2023,11,MIDU,3,1,1,MON,2,1,18,0,279209,363123,13,30, , , , , , , , , , 
2023,12,DCST,3,3,1,MON,2,1,20,13,253946,404509,13,60, , , , , , , , , , 
2023,13,FERO,3,1,1,MON,2,1,22,20,245680,372495,13,30, , , , , , , , , , 
2023,14,BELC,3,2,1,TUE,3,1,10,50,336877,374710,13,30, , , , , , , , , , 
2023,15,BELC,3,2,3,TUE,3,1,12,9,332635,373458,11,50, , , , , , , , , , 
2023,16,MIDU,3,1,1,TUE,3,1,12,36,291877,394993,13,60, , , , , , , , , , 
2023,17,BELC,3,2,1,TUE,3,1,13,0,334553,374649,12,50, , , , , , , , , , 
2023,18,ARBC,3,2,1,TUE,3,1,12,30,304584,356618,11,40, , , , , , , , , , 
2023,19,ARND,3,2,1,TUE,3,1,13,48,349729,360850,13,30, , , , , , , , , , 
2023,20,LISC,2,1,1,TUE,3,1,17,5,336696,364872,13,30,12,3,1,11,4,2,2,1,1,1
2023,21,FERO,3,2,2,WED,4,1,13,56,223524,343950,13,30, , , , , , , , , , 
2023,22,BELC,3,2,1,WED,4,1,14,0,330517,370088,13,30, , , , , , , , , , 
2023,23,MIDU,3,2,1,WED,4,1,15,42,281058,378366,13,30, , , , , , , , , , 
2023,24,DCST,3,2,1,WED,4,1,15,0,243596,418060,13,40, , , , , , , , , , 
2023,25,DCST,3,3,2,WED,4,1,16,29,241989,414888,13,60, , , , , , , , , , 
2023,26,ANTN,3,1,1,WED,4,1,16,30,323049,388327,13,60, , , , , , , , , , 
2023,27,ANTN,3,2,1,WED,4,1,17,33,334097,380804,13,30, , , , , , , , , , 
2023,28,ARND,3,2,1,WED,4,1,18,5,349797,375970,11,70, , , , , , , , , , 
2023,29,NEMD,3,2,2,WED,4,1,18,38,333638,332591,13,60, , , , , , , , , , 
2023,30,CCGL,3,2,1,WED,4,1,18,30,256726,420719,13,30, , , , , , , , , , 
2023,31,NEMD,3,2,1,WED,4,1,16,45,348552,345260,1,30, , , , , , , , , , 
2023,32,NEMD,3,3,3,THU,5,1,1,42,308603,323611,13,60, , , , , , , , , , 
2023,33,ANTN,3,2,1,THU,5,1,7,45,316196,377037,13,60, , , , , , , , , , 
2023,34,DCST,3,2,1,THU,5,1,10,10,242121,414972,13,40, , , , , , , , , , 
2023,35,ANTN,3,2,2,THU,5,1,12,28,333886,382225,13,40, , , , , , , , , , 
2023,36,FERO,2,1,1,THU,5,1,15,0,231160,336785,13,60,1,1,1,1,2,4,1,1,1,1
2023,37,BELC,3,3,4,THU,5,1,16,49,335420,373862,13,30, , , , , , , , , , 
2023,38,CCGL,3,2,2,WED,4,1,17,15,296254,415549,13,60, , , , , , , , , , 
2023,39,BELC,3,2,2,THU,5,1,19,5,334176,376561,13,30, , , , , , , , , , 
2023,40,NEMD,3,3,1,THU,5,1,21,18,338561,343513,13,60, , , , , , , , , , 
