a_year,a_ref,v_id,v_type,v_tow,v_man,v_loc,v_junc,v_skid,v_hit,v_leave,v_hitoff,v_impact,v_sex,v_agegroup,v_hitr,v_forreg
2025,1,1,8,1,18,3, , , , , ,2,1,3,1, 
2025,2,1,8,1,18,3, , , , , ,5,2,3,1, 
2025,3,1,8,1,7,3, , , , , ,5,1,3,1, 
2025,3,2,1,1,18,3, , , , , ,2,2,5,1, 
2025,4,1,8,1,16,3, , , , , ,2,2,4,1, 
2025,5,1,8,1,3,3,1,1,1,1,1,2,1,4,1,1
2025,5,2,8,1,16,3,1,3,1,1,1,2,1,4,1,1
2025,6,1,8,1,7,3, , , , , ,5,1,5,1, 
2025,6,2,8,1,18,3, , , , , ,2,1,3,1, 
2025,7,1,14,1,18,3, , , , , ,4,2,3,1, 
2025,7,2,8,1,18,3, , , , , ,4,1,6,1, 
2025,8,1,8,1,16,3, , , , , ,4,2,3,1, 
2025,9,1,8,1,4,3, , , , , ,5,1,8,1, 
2025,10,1,8,1,2,3,3,1,1,1,1,4,3,9,1,1
2025,10,2,8,1,18,3,3,1,1,1,1,2,1,3,1,1
2025,11,1,8,1,18,3,3,1,1,2,2,2,1,8,1,1
2025,11,2,8,1,18,3,3,1,1,1,1,3,2,4,1,1
2025,12,1,8,1,9,3,3,1,1,1,1,2,2,6,1,1
2025,13,1,8,1,10,4, , , , , ,3,1,4,1, 
2025,13,2,8,1,18,4, , , , , ,2,1,4,1, 
2025,14,1,8,1,9,3,3,1,1,1,1,4,2,4,1,3
2025,14,2,8,1,18,3,2,1,1,1,1,2,2,8,1,3
2025,15,1,8,1,4,6, , , , , ,3,2,6,1, 
2025,15,2,8,1,4,3, , , , , ,2,2,5,1, 
2025,16,1,8,1,9,3, , , , , ,2,2,4,1, 
2025,16,2,8,1,5,3, , , , , ,4,2,5,1, 
2025,17,1,14,1,18,4,3,6,1,1,1,1,1,2,1,1
2025,18,1,8,1,18,3, , , , , ,2,2,8,1, 
2025,18,2,8,1,18,3, , , , , ,3,2,8,1, 
2025,19,1,8,1,11,3, , , , , ,5,2,4,1, 
2025,19,2,15,1,18,3, , , , , ,4,1,6,1, 
2025,20,1,20,1,18,3, , , , , ,5,1,5,1, 
2025,20,2,8,1,12,3, , , , , ,4,1,7,1, 
2025,21,1,8,1,18,3,1,1,1,1,1,5,2,6,1,1
2025,21,2,1,1,18,3,1,1,1,1,1,4,1,5,1,1
2025,22,1,8,1,9,3,3,1,1,1,1,5,1,4,1,1
2025,22,2,23,1,18,3,3,2,1,1,1,2,1,7,1,1
2025,23,1,8,1,9,3,4,1,1,2,1,5,1,3,1,1
2025,23,2,8,1,18,3,2,1,1,1,1,2,1,5,1,1
2025,24,1,8,1,10,3, , , , , ,3,1,4,1, 
2025,24,2,8,1,4,3, , , , , ,3,2,4,1, 
2025,24,3,8,1,4,3, , , , , ,2,1,4,1, 
2025,25,1,8,1,18,3, , , , , ,2,2,4,1, 
2025,25,2,8,1,4,3, , , , , ,4,2,6,1, 
2025,26,1,8,1,10,3, , , , , ,3,1,4,1, 
2025,26,2,8,1,18,3, , , , , ,2,1,3,1, 
2025,27,1,8,1,18,3, , , , , ,2,2,4,1, 
2025,27,2,8,1,18,3, , , , , ,2,1,4,1, 
2025,28,1,25,1,7,3,3,1,1,1,1,3,1,3,1,1
2025,28,2,8,1,18,3,3,1,1,1,1,2,2,3,1,1
2025,29,1,25,1,16,3,1,6,1,2,10,1,1,8,1,1
2025,29,2,8,1,13,3,1,1,1,1,1,1,3,9,1,1
2025,29,3,8,1,17,3,1,1,1,1,1,1,3,9,3,1
2025,30,1,8,1,4,3, , , , , ,3,2,6,1, 
2025,30,2,8,1,18,3, , , , , ,2,1,5,1, 
2025,31,1,8,1,17,3, , , , , ,2,1,3,1, 
2025,32,1,8,1,19,3, , , , , ,2,3,9,2, 
2025,33,1,25,1,18,3, , , , , ,4,1,7,1, 
2025,33,2,8,1,18,3, , , , , ,4,2,6,1, 
2025,34,1,8,1,16,3, , , , , ,2,1,7,1, 
2025,34,2,15,1,17,3, , , , , ,2,1,5,1, 
2025,35,1,8,1,5,3, , , , , ,2,1,4,1, 
2025,35,2,8,1,18,3, , , , , ,2,1,7,1, 
2025,36,1,8,1,18,3,3,1,1,1,1,2,1,5,1,1
2025,37,1,8,1,18,3, , , , , ,4,2,3,1, 
2025,37,2,8,1,5,3, , , , , ,2,1,8,1, 
2025,38,1,8,1,18,3, , , , , ,2,2,6,1, 
2025,38,2,8,1,7,3, , , , , ,2,1,8,1, 
2025,39,1,8,1,17,3, , , , , ,2,1,3,1, 
2025,40,1,8,1,9,3, , , , , ,5,2,3,1, 
2025,40,2,8,1,18,3, , , , , ,2,1,6,1, 
2025,41,1,8,1,18,3, , , , , ,2,2,4,1, 
2025,41,2,8,1,18,3, , , , , ,3,1,6,1, 
2025,42,1,8,1,8,3, , , , , ,3,2,5,1, 
2025,42,2,8,1,18,3, , , , , ,2,1,4,1, 
2025,43,1,20,1,5,4, , , , , ,1,1,4,1, 
2025,44,1,8,1,2,3, , , , , ,5,3,9,1, 
2025,44,2,8,1,18,3, , , , , ,2,2,5,1, 
2025,45,1,8,1,7,3, , , , , ,2,1,5,1, 
2025,46,1,8,1,18,3, , , , , ,2,1,4,1, 
2025,46,2,8,1,18,3, , , , , ,4,2,3,1, 
2025,47,1,8,1,9,3, , , , , ,2,2,4,1, 
2025,47,2,8,1,7,3, , , , , ,2,1,5,1, 
2025,48,1,8,1,18,3, , , , , ,5,1,4,1, 
2025,48,2,8,1,18,3, , , , , ,5,1,5,1, 
2025,49,1,15,1,17,3, , , , , ,5,1,4,1, 
2025,50,1,8,1,17,4, , , , , ,5,1,4,1, 
2025,51,1,8,1,18,3, , , , , ,2,1,6,1, 
2025,51,2,8,1,19,3, , , , , ,4,1,6,1, 
2025,52,1,8,1,10,3, , , , , ,3,2,3,1, 
2025,52,2,8,1,18,3, , , , , ,2,1,3,1, 
2025,53,1,8,1,9,3,1,2,1,2,5,4,1,4,1,1
2025,53,2,8,1,13,3,1,1,1,1,1,2,1,4,1,1
2025,54,1,8,1,7,3, , , , , ,4,1,5,1, 
2025,55,1,8,1,18,3, , , , , ,2,1,4,1, 
2025,55,2,8,1,3,3, , , , , ,3,2,5,1, 
2025,56,1,8,1,17,3, , , , , ,5,1,3,1, 
2025,57,1,8,1,18,3, , , , , ,5,1,4,1, 
