_id,a_year,a_ref,v_id,v_type,v_tow,v_man,v_loc,v_junc,v_skid,v_hit,v_leave,v_hitoff,v_impact,v_sex,v_agegroup,v_hitr,v_forreg
1,2024,1,1,4,1,18,3, , , , , ,2,1,3,1, 
2,2024,1,2,8,1,2,3, , , , , ,3,3,9,1, 
3,2024,2,1,8,1,18,3,4,2,8,1,5,2,1,3,1,1
4,2024,3,1,8,1,6,3, , , , , ,4,2,4,1, 
5,2024,3,2,15,1,18,3, , , , , ,5,1,4,1, 
6,2024,4,1,8,1,18,3,1,1,1,1,1,2,1,6,1,1
7,2024,5,1,8,1,18,3, , , , , ,2,1,3,1, 
8,2024,5,2,8,1,9,3, , , , , ,5,1,4,1, 
9,2024,5,3,8,1,11,3, , , , , ,1,3,9,3, 
10,2024,6,1,8,1,5,3, , , , , ,2,1,4,1, 
11,2024,6,2,8,1,19,3, , , , , ,2,1,7,1, 
12,2024,7,1,8,1,8,3, , , , , ,3,1,4,1, 
13,2024,7,2,8,1,7,3, , , , , ,2,2,5,1, 
14,2024,8,1,8,1,18,3, , , , , ,3,2,6,1, 
15,2024,8,2,17,2,11,3, , , , , ,2,1,8,1, 
16,2024,9,1,8,1,9,3, , , , , ,2,2,4,1, 
17,2024,9,2,8,1,18,3, , , , , ,4,2,6,1, 
18,2024,10,1,8,1,18,3, , , , , ,2,1,6,1, 
19,2024,11,1,8,1,14,3, , , , , ,5,3,9,2, 
20,2024,11,2,17,1,2,3, , , , , ,1,3,9,1, 
21,2024,12,1,8,1,9,3,2,1,1,1,1,3,2,4,1,1
22,2024,12,2,8,1,18,3,2,1,1,1,1,2,1,6,1,1
23,2024,13,1,8,1,5,3, , , , , ,4,1,5,1, 
24,2024,13,2,8,1,18,3, , , , , ,2,2,6,1, 
25,2024,14,1,8,1,18,3, , , , , ,2,1,8,1, 
26,2024,14,2,8,1,4,3, , , , , ,3,1,7,1, 
27,2024,15,1,8,1,10,3, , , , , ,3,1,4,1, 
28,2024,15,2,8,1,3,3, , , , , ,3,2,5,1, 
29,2024,15,3,8,1,18,3, , , , , ,2,2,4,1, 
30,2024,16,1,8,1,4,3, , , , , ,2,1,4,1, 
31,2024,16,2,8,1,4,3, , , , , ,3,1,5,1, 
32,2024,17,1,15,1,18,3, , , , , ,2,2,4,1, 
33,2024,17,2,8,1,5,3, , , , , ,5,1,8,1, 
34,2024,18,1,8,1,9,3, , , , , ,5,2,5,1, 
35,2024,18,2,8,1,18,3, , , , , ,2,2,5,1, 
36,2024,19,1,8,5,5,3, , , , , ,2,1,7,1, 
37,2024,19,2,8,1,18,3, , , , , ,4,2,7,1, 
38,2024,20,1,8,1,9,3,2,1,1,1,1,4,1,3,1,1
39,2024,20,2,8,1,18,3,2,1,1,1,1,4,2,3,1,1
40,2024,21,1,8,1,9,2, , , , , ,1,1,4,1, 
41,2024,21,2,8,1,18,3, , , , , ,2,2,6,1, 
42,2024,22,1,8,1,10,3, , , , , ,3,2,4,1, 
43,2024,22,2,8,1,4,3, , , , , ,2,2,3,1, 
44,2024,23,1,8,1,16,3, , , , , ,2,2,3,1, 
45,2024,23,2,8,1,18,3, , , , , ,2,2,6,1, 
46,2024,24,1,23,1,18,3,3,6,1,4,1,2,1,2,1,1
47,2024,24,2,8,1,18,3,2,1,1,1,1,2,1,7,1,1
48,2024,24,3,8,1,19,3,5,1,1,1,1,1,1,4,1,1
49,2024,25,1,8,1,9,2, , , , , ,2,1,3,1, 
50,2024,25,2,8,1,18,3, , , , , ,4,2,4,1, 
51,2024,26,1,8,1,18,3,1,1,1,1,1,2,1,5,1,1
52,2024,26,2,8,1,18,3,1,1,1,1,8,3,2,8,1,1
53,2024,27,1,8,1,5,3, , , , , ,2,1,7,1, 
54,2024,28,1,8,1,19,3, , , , , ,5,1,5,1, 
55,2024,29,1,8,1,7,3, , , , , ,2,2,4,1, 
