LGDNAME,fatal,serious,slight,total,fatal_percentage,serious_percentage,slight_percentage,serious_to_slight_ratio
Antrim and Newtownabbey,7,59,325,391,1.79,15.09,83.12,0.182
Ards and North Down,4,69,313,386,1.04,17.88,81.09,0.22
"Armagh City, Banbridge and Craigavon",4,82,457,543,0.74,15.1,84.16,0.179
Belfast,6,124,1043,1173,0.51,10.57,88.92,0.119
Causeway Coast and Glens,10,45,283,338,2.96,13.31,83.73,0.159
Derry City and Strabane,1,47,363,411,0.24,11.44,88.32,0.129
Fermanagh and Omagh,6,59,228,293,2.05,20.14,77.82,0.259
Lisburn and Castlereagh,2,68,306,376,0.53,18.09,81.38,0.222
Mid Ulster,7,48,307,362,1.93,13.26,84.81,0.156
Mid and East Antrim,10,58,249,317,3.15,18.3,78.55,0.233
"Newry, Mourne and Down",9,86,373,468,1.92,18.38,79.7,0.231
