LGDNAME,fatal,serious,slight,total,fatal_percentage,serious_percentage,slight_percentage,serious_to_slight_ratio
Antrim and Newtownabbey,6,52,359,417,1.4388489208633095,12.470023980815348,86.09112709832134,0.14484679665738162
Ards and North Down,7,56,290,353,1.9830028328611897,15.864022662889518,82.15297450424929,0.19310344827586207
"Armagh City, Banbridge and Craigavon",5,108,441,554,0.9025270758122743,19.494584837545126,79.6028880866426,0.24489795918367346
Belfast,5,161,966,1132,0.441696113074205,14.2226148409894,85.33568904593639,0.16666666666666666
Causeway Coast and Glens,7,74,265,346,2.023121387283237,21.38728323699422,76.58959537572254,0.2792452830188679
Derry City and Strabane,0,54,303,357,0.0,15.126050420168067,84.87394957983193,0.1782178217821782
Fermanagh and Omagh,4,58,221,283,1.4134275618374559,20.49469964664311,78.09187279151944,0.26244343891402716
Lisburn and Castlereagh,2,87,337,426,0.4694835680751174,20.422535211267608,79.10798122065728,0.258160237388724
Mid Ulster,9,70,287,366,2.459016393442623,19.12568306010929,78.41530054644808,0.24390243902439024
Mid and East Antrim,2,60,228,290,0.6896551724137931,20.689655172413794,78.62068965517241,0.2631578947368421
"Newry, Mourne and Down",6,114,371,491,1.2219959266802443,23.217922606924642,75.56008146639512,0.30727762803234504
